links,name,company,location,position,salary,level
https://www.seek.com.au/job/80270045?type=promoted&ref=search-standalone,Technical Application Engineer,Pepperl+Fuchs (Aust) Pty Ltd ,"Campbellfield, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80296913?type=promoted&ref=search-standalone,AGV Engineer,Dematic Pty Ltd ,"Notting Hill, Melbourne VIC",Materials Handling Engineering (Engineering),Career growth with great company benefits,Full time
https://www.seek.com.au/job/80288468?type=standard&ref=search-standalone,Automation Engineer,Tall Order Electrical ,"Pemulwuy, Sydney NSW",Electrical/Electronic Engineering (Engineering),"$110,000–$130,000 per year (+Profit Share Scheme)",Full time
https://www.seek.com.au/job/80264751?type=standard&ref=search-standalone,Graduate Automation Engineer,Donnybrook Packing Company ,"Donnybrook, Bunbury & South West WA",Electrical/Electronic Engineering (Engineering),"$70,000 – $75,000 per year",Full time
https://www.seek.com.au/job/80214233?type=standout&ref=search-standalone,Automation Engineer - All Levels,APD Engineering ,Perth WA,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80270045?type=standout&ref=search-standalone,Technical Application Engineer,Pepperl+Fuchs (Aust) Pty Ltd ,"Campbellfield, Melbourne VIC",Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/79988518?type=standout&ref=search-standalone,Control Systems Engineer,N/A,Perth WA,Electrical/Electronic Engineering (Engineering),"$110,000 – $135,000 per year",Full time
https://www.seek.com.au/job/80209631?type=standout&ref=search-standalone,Automation Design Engineer,Energy Queensland Group ,Brisbane QLD,Electrical/Electronic Engineering (Engineering)Government - State (Government & Defence),$151K - $171K + 9 or 10 day f/night + 14.75 %super,Full time
https://www.seek.com.au/job/80192163?type=standout&ref=search-standalone,Control Systems Engineer,Site Automation Pty Ltd ,Brisbane QLD,Electrical/Electronic Engineering (Engineering),Add expected salary to your profile for insights,Full time
https://www.seek.com.au/job/80200333?type=standout&ref=search-standalone,Graduate Mechanical Engineer,JIVARO Recruitment ,"Truganina, Melbourne VIC",Mechanical Engineering (Engineering),"$110,000",Full time
